<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.18	17:00:00	3391.031	3391.295	3384.291	3385.333	6144	0	160
2025.06.18	18:00:00	3385.394	3395.827	3378.326	3379.067	24894	0	160
2025.06.18	19:00:00	3379.109	3379.244	3362.867	3366.818	25041	0	160
2025.06.18	20:00:00	3366.771	3369.395	3362.474	3368.584	7948	0	160
2025.06.18	22:00:00	3373.198	3379.890	3370.590	3375.178	6547	0	160
2025.06.18	23:00:00	3375.166	3377.063	3370.664	3375.023	6429	0	160
2025.06.19	00:00:00	3375.042	3383.364	3374.691	3379.416	7930	0	160
2025.06.19	01:00:00	3379.474	3387.968	3374.516	3374.895	13843	0	160
2025.06.19	02:00:00	3374.870	3379.478	3373.998	3376.783	7050	0	160
2025.06.19	03:00:00	3376.738	3377.366	3369.684	3373.609	6831	0	160
2025.06.19	04:00:00	3373.609	3375.191	3371.976	3374.480	4461	0	160
2025.06.19	05:00:00	3374.468	3375.326	3360.187	3364.477	9407	0	160
2025.06.19	06:00:00	3364.520	3364.818	3347.456	3357.345	22755	0	160
2025.06.19	07:00:00	3357.446	3369.182	3350.693	3365.954	14922	0	160
2025.06.19	08:00:00	3365.968	3371.651	3362.210	3368.645	10660	0	160
2025.06.19	09:00:00	3368.679	3373.667	3363.635	3370.267	8533	0	160
2025.06.19	10:00:00	3370.310	3379.050	3369.037	3374.998	8171	0	160
2025.06.19	11:00:00	3375.046	3375.550	3370.440	3371.967	6839	0	160
2025.06.19	12:00:00	3371.971	3372.590	3363.784	3367.958	8986	0	160
2025.06.19	13:00:00	3367.996	3372.963	3361.497	3369.573	11766	0	160
2025.06.19	14:00:00	3369.547	3371.005	3361.574	3364.650	9989	0	160
2025.06.19	15:00:00	3364.624	3371.922	3362.182	3369.260	10614	0	160
2025.06.19	16:00:00	3369.223	3371.707	3366.155	3371.125	6380	0	160
2025.06.19	17:00:00	3371.045	3374.140	3370.925	3373.455	1096	0	160
2025.06.19	22:00:00	3369.491	3370.375	3361.986	3365.623	7477	0	160
2025.06.19	23:00:00	3365.628	3370.445	3363.627	3368.739	6639	0	160
2025.06.20	00:00:00	3368.763	3370.350	3364.625	3368.174	7785	0	160
2025.06.20	01:00:00	3368.181	3368.289	3356.080	3356.516	10648	0	160
2025.06.20	02:00:00	3356.476	3360.653	3351.623	3352.479	10498	0	160
2025.06.20	03:00:00	3352.510	3356.353	3344.625	3355.507	11598	0	160
2025.06.20	04:00:00	3355.539	3357.656	3352.540	3354.316	5520	0	160
2025.06.20	05:00:00	3354.284	3355.186	3342.730	3344.740	8945	0	160
2025.06.20	06:00:00	3344.773	3348.714	3340.345	3345.266	10412	0	160
2025.06.20	07:00:00	3345.222	3355.316	3343.382	3347.691	9552	0	160
2025.06.20	08:00:00	3347.657	3352.517	3346.681	3351.026	7705	0	160
2025.06.20	09:00:00	3350.977	3359.224	3349.177	3355.243	7744	0	160
2025.06.20	10:00:00	3355.301	3357.928	3354.920	3355.430	5489	0	160
2025.06.20	11:00:00	3355.429	3356.048	3346.540	3347.051	9634	0	160
2025.06.20	12:00:00	3347.094	3350.723	3341.887	3344.444	13478	0	160
2025.06.20	13:00:00	3344.563	3373.885	3342.988	3370.333	17640	0	160
2025.06.20	14:00:00	3370.331	3374.477	3365.211	3369.235	14870	0	160
2025.06.20	15:00:00	3369.278	3371.752	3365.835	3369.856	8358	0	160
