,RSI,STOCH_D,MACD_HIST,LABEL
436,1,1,1,0
437,1,0,1,-1
438,0,2,1,0
439,0,2,0,-1
440,0,0,0,1
441,0,0,0,0
442,1,2,1,-1
443,0,2,1,1
444,1,1,1,0
445,0,2,0,1
446,0,0,0,1
447,0,0,0,1
448,0,0,0,0
449,0,2,1,-1
450,0,2,0,-1
451,0,2,0,0
452,0,0,0,1
453,0,0,0,1
454,1,2,1,1
455,0,0,0,0
456,1,1,1,1
457,1,2,1,0
458,0,0,0,1
459,0,0,0,1
460,0,0,0,0
461,0,2,1,1
462,0,0,0,-1
463,0,2,1,-1
464,0,2,1,0
465,1,2,0,1
466,0,2,0,1
467,0,0,0,1
468,0,2,1,1
469,0,0,0,0
470,0,0,0,1
471,0,0,0,-1
472,1,1,1,-1
473,0,2,1,1
474,0,0,0,-1
475,1,1,1,1
476,1,2,0,0
477,0,0,0,0
478,1,2,0,-1
479,0,2,1,-1
480,1,1,1,-1
481,1,1,1,-1
482,0,1,1,1
483,1,0,0,-1
484,0,2,0,0
485,1,2,0,0
486,0,2,1,0
487,0,2,1,-1
488,1,1,1,1
489,0,0,0,1
490,1,2,0,0
491,1,2,1,1
492,0,2,0,1
493,0,0,0,1
494,1,2,1,1
495,0,0,1,1
496,0,0,0,-1
497,1,2,1,-1
498,0,2,1,-1
499,0,2,1,0
500,0,2,0,-1
501,1,1,1,1
502,0,0,0,1
503,0,0,0,-1
504,1,2,0,0
505,1,1,1,0
506,1,1,1,0
507,1,2,0,1
508,1,0,0,1
509,0,2,1,0
510,0,0,1,0
511,0,0,0,1
512,0,0,0,-1
513,0,2,1,0
514,1,1,1,0
515,0,0,0,1
516,1,1,1,-1
517,1,1,1,1
518,0,0,0,-1
519,0,2,0,0
520,0,0,0,-1
521,1,2,1,1
522,1,0,1,-1
523,0,2,1,-1
524,0,2,1,0
525,1,2,0,0
526,1,2,1,1
527,1,2,1,0
528,0,0,0,1
529,0,0,0,1
530,0,0,1,0
531,0,2,1,0
532,1,2,1,-1
533,1,1,1,-1
534,0,1,1,1
535,1,2,0,-1
536,0,2,0,0
537,1,2,0,1
538,0,0,0,0
539,0,0,0,-1
540,1,1,1,0
541,1,2,1,1
542,0,0,0,1
543,0,0,0,0
544,0,0,0,-1
545,0,2,1,-1
546,1,2,1,1
547,0,0,0,-1
548,1,2,1,0
549,1,2,1,-1
550,0,2,0,0
551,0,0,0,1
552,0,0,0,-1
553,1,2,1,-1
554,1,2,1,1
555,1,0,0,1
556,0,0,0,-1
557,1,1,1,1
558,0,2,1,0
559,0,0,0,1
560,1,0,0,1
561,0,0,1,1
562,1,0,0,-1
563,0,2,1,-1
564,1,1,1,-1
565,1,1,1,-1
566,1,2,1,-1
567,1,1,1,0
568,0,2,0,0
569,0,0,0,1
570,1,0,0,-1
571,1,1,1,-1
572,1,1,1,1
573,0,0,0,0
574,0,2,1,0
575,1,2,1,0
576,0,2,0,-1
577,1,1,1,1
578,0,0,0,1
579,1,0,0,1
580,1,2,1,-1
581,0,2,1,1
582,0,0,0,-1
583,0,2,1,0
584,0,0,0,1
585,0,0,0,-1
586,0,2,1,-1
587,1,2,1,-1
588,1,1,1,0
589,1,2,0,0
590,0,2,0,0
591,1,2,0,0
592,0,0,0,1
593,1,2,1,0
594,1,2,1,-1
595,1,1,1,-1
596,1,1,1,0
597,1,2,0,-1
598,1,1,1,-1
599,0,2,0,0
600,1,2,0,-1
601,1,1,1,1
602,1,2,0,0
603,0,2,0,1
604,1,0,0,0
605,1,1,1,0
606,0,2,0,1
607,1,2,0,1
608,1,2,0,1
609,1,2,1,1
610,0,0,0,-1
611,1,2,1,-1
612,0,1,1,0
613,1,0,0,0
614,0,2,0,1
615,1,0,0,0
616,0,2,1,0
